Date,Open,High,Low,Close
12/31/2020,"6,675.6","6,725.1","6,587.1","6,587.1"
12/24/2020,"6,677.2","6,704.9","6,585.0","6,664.8"
12/18/2020,"6,645.7","6,765.7","6,625.7","6,675.5"
12/11/2020,"6,634.3","6,745.3","6,632.3","6,642.6"
12/04/2020,"6,605.5","6,650.1","6,511.4","6,634.1"
11/27/2020,"6,550.6","6,713.3","6,549.6","6,601.1"
11/20/2020,"6,423.5","6,562.1","6,422.9","6,539.2"
11/13/2020,"6,196.8","6,470.9","6,196.7","6,405.2"
11/06/2020,"5,934.8","6,202.3","5,904.1","6,190.2"
10/30/2020,"6,164.7","6,206.5","5,927.6","5,927.6"
10/23/2020,"6,187.0","6,248.3","6,100.6","6,167.0"
10/16/2020,"6,104.4","6,233.4","6,093.1","6,176.8"
10/09/2020,"5,815.6","6,127.4","5,815.5","6,102.2"
10/02/2020,"5,960.9","5,995.4","5,779.6","5,791.5"
09/25/2020,"5,861.0","5,973.7","5,763.2","5,964.9"
09/18/2020,"5,873.6","5,958.5","5,864.5","5,864.5"
09/11/2020,"5,924.3","6,025.5","5,836.2","5,859.4"
09/04/2020,"6,077.1","6,130.8","5,908.9","5,925.5"
08/28/2020,"6,110.0","6,199.2","6,056.0","6,073.8"
08/21/2020,"6,117.5","6,196.6","6,059.3","6,111.2"
08/14/2020,"6,008.3","6,186.1","6,008.1","6,126.2"
08/07/2020,"5,928.3","6,059.5","5,860.7","6,004.8"
07/31/2020,"6,018.5","6,113.8","5,893.2","5,927.8"
07/24/2020,"6,038.5","6,160.6","5,991.9","6,024.0"
07/17/2020,"5,998.4","6,078.0","5,918.8","6,033.6"
07/10/2020,"6,053.5","6,078.3","5,899.5","5,919.2"
07/03/2020,"5,877.8","6,101.4","5,773.2","6,057.9"
06/26/2020,"5,935.0","5,999.2","5,817.7","5,904.1"
06/19/2020,"5,846.7","6,006.3","5,719.8","5,942.6"
06/12/2020,"6,037.6","6,198.6","5,756.5","5,847.8"
06/05/2020,"5,755.5","6,040.2","5,705.4","5,998.7"
05/29/2020,"5,513.7","5,922.0","5,512.4","5,755.7"
05/22/2020,"5,424.7","5,610.8","5,424.0","5,497.0"
05/15/2020,"5,405.9","5,489.5","5,301.9","5,404.8"
05/08/2020,"5,246.6","5,428.0","5,169.6","5,391.1"
05/01/2020,"5,239.0","5,549.1","5,214.8","5,245.9"
04/24/2020,"5,486.3","5,490.6","5,100.7","5,242.6"
04/17/2020,"5,387.4","5,563.6","5,345.0","5,487.5"
04/09/2020,"5,077.8","5,423.1","5,076.9","5,387.3"
04/03/2020,"4,833.1","5,366.4","4,833.1","5,067.5"
03/27/2020,"4,753.9","5,236.7","4,402.5","4,842.4"
03/20/2020,"5,468.8","5,468.8","4,741.0","4,816.6"
03/13/2020,"6,131.6","6,132.6","4,873.7","5,539.3"
03/06/2020,"6,438.9","6,524.3","6,216.2","6,216.2"
02/28/2020,"7,120.9","7,120.9","6,426.8","6,441.2"
02/21/2020,"7,133.2","7,197.2","7,096.8","7,139.0"
02/14/2020,"7,018.6","7,145.8","6,982.6","7,130.2"
02/07/2020,"6,983.7","7,051.6","6,897.0","7,022.6"
01/31/2020,"7,051.2","7,051.4","6,964.7","7,017.2"
01/24/2020,"7,071.3","7,144.9","7,040.7","7,090.5"
01/17/2020,"6,917.6","7,088.1","6,880.7","7,064.1"
01/10/2020,"6,733.1","6,933.2","6,671.7","6,929.0"
01/03/2020,"6,681.2","6,788.2","6,669.2","6,733.5"
